R001,"is related to",relateret til,
R002,"has or had part",har del,
R002i,"is or was part of",del af,
R003,"has or had constituent",har bestanddel,
R003i,"is or was constituent of",bestanddel af,
R004,"has or had component",har komponent,
R004i,"is or was component of",komponent af,
R005,"has or had subdivision",har underafdeling,
R005i,"is or was subdivision of",underafdeling af,
R006,"has or had subevent",har delbegivenhed,
R006i,"is or was subevent of",delbegivenhed af,
R007,"contains or contained",indeholder,
R007i,"is or was contained by",indeholdt i,
R008,"precedes or preceded",går forud for,
R008i,"follows or followed",følger,
R009,"precedes in time",går tidsmæssigt forud for,
R009i,"follows in time",følger i tid,
R010,"is original of",original af,
R010i,"has original",har original,
R011,"is draft of",kladde af,
R011i,"has draft",har kladde,
R012,"has copy",kopi af,
R012i,"is copy of",har kopi,
R013,"has reply",har svar,
R013i,"is reply to",svar på,
R014,"has or had derived instantiation",har afledt instans,
R014i,"is or was derived from instantiation",afledt af instans,
R015,"migrated into",migreret til,
R015i,"migrated from",migreret fra,
R016,"has successor",har efterfølger,
R016i,"is successor of",efterfølger af,
R017,"has descendant",har efterkommer,
R017i,"has ancestor",har forfader,
R018,"has child",har barn,
R018i,"is child of",barn af,
R019,"has or had subject",har emne,
R019i,"is or was subject of",emne for,
R020,"has or had main subject",har hovedemne,
R020i,"is or was main subject of",hovedemne for,
R021,"describes or described",beskriver,
R021i,"is or was described by",beskrevet af,
R023,"has genetic link to record resource",linket til record,
R024,"includes or included",inkluderer,
R024i,"is or was included in",inkluderet i,
R025,"has or had instantiation",har instans,
R025i,"is or was instantiation of",instans af,
R026,"has provenance",har proveniens,
R026i,"is provenance of",proveniens af,
R027,"has creator",har kreativt ophav,
R027i,"is creator of",kreativt ophav til,
R028,"has accumulator",har samler,
R028i,"is accumulator of",samler af,
R029,"has receiver",har modtager,
R029i,"is receiver of",modtager af,
R030,"has collector",har arkivskaber,
R030i,"is collector of",arkivskaber af,
R031,"has sender",har afsender,
R031i,"is sender of",afsender af,
R032,"has addressee",har adressat,
R032i,"is addressee of",adressat af,
R033,"documents",dokumenterer,
R033i,"documented by",dokumenteret af,
R034,"is instantiation associated with instantiation",forbundet med instans,
R035,"is functionally equivalent to",funktionelt svarende til,
R036,"has or had authority over",har myndighed over,
R036i,"is or was under authority of",underlagt,
R037,"is or was owner of",ejer af,
R037i,"has or had owner",har ejer,
R038,"is or was manager of",leder af,
R038i,"has or had manager",har leder,
R039,"is or was holder of",indehaver af,
R039i,"has or had holder",har indehaver,
R040,"is or was holder of intellectual property rights of",rettighedshaver til,
R040i,"has or had intellectual property rights holder",har rettighedshaver,
R041,"is or was controller of",ansvarlig for,
R041i,"has or had controller",har ansvarlig,
R042,"is or was leader of",leder af,
R042i,"has or had leader",har leder,
R044,"is agent associated with agent",forbundet med agent,
R045,"has or had subordinate",har underordnet medarbejder,
R045i,"is or was subordinate to",underornet medarbejder til,
R046,"has or had work relation with",har arbejdsrelation til,
R047,"has family association with",har familiær relation til,
R048,"has sibling",har søskende,
R049,"has or had spouse",har ægtefælle,
R050,"knows of",kender til,
R050i,"known by",kendt af,
R051,"knows",kender,
R052,"has or had correspondent",har korrespondent,
R053,"has or had teacher",har lærer,
R053i,"has or had student",har student,
R054,"occupies or occupied",optager,
R054i,"is or was occupied by",optaget af,
R055,"has or had member",har medlem,
R055i,"is or was member of",medlem af,
R056,"exists or existed in",eksisterer i,
R056i,"has or had position",har position,
R057,"is event associated with",begivenhed forbundet med,
R057i,"is associated with event",forbundet med begivenhed,
R058,"has or had participant",har deltager,
R058i,"is or was participant in",deltager i,
R059,"affects or affected",påvirker,
R059i,"is or was affected by",påvirket af,
R060,"is or was performed by",opføres af,
R060i,"performs or performed",opfører,
R061,"results or resulted in",resulterer i,
R061i,"results or resulted from",resultat af,
R062,"is rule associated with",regel forbundet med,
R062i,"is associated with rule",forbundet med regel,
R063,"regulates or regulated",regulerer,
R063i,"is or was regulated by",reguleret af,
R064,"is or was expressed by",udtrykkes ved,
R064i,"expresses or expressed",udtrykker,
R065,"issued by",udgives af,
R065i,"is responsible for issuing",ansvarlig for udgivelse af,
R066,"is or was enforced by",håndhæves af,
R066i,"is or was responsible for enforcing",ansvarlig for håndhævelse af,
R067,"authorizes",autoriserer,
R067i,"authorized by",autoriseret af,
R068,"is date associated with",dato associeret med,
R068i,"is associated with date",associeret med dato,
R069,"is beginning date of",startdato for,
R069i,"has beginning date",har startdato,
R070,"is birth date of",fødselsdato for,
R070i,"has birth date",har fødselsdato,
R071,"is end date of",slutdato for,
R071i,"has end date",har slutdato,
R072,"is death date of",dødsdato for,
R072i,"has death date",har dødsdato,
R073,"is modification date of",ændringsdato for,
R073i,"has modification date",har ændringsdato,
R074,"is place associated with",sted associeret med,
R074i,"is associated with place",associeret med sted,
R075,"is or was location of",lokation for,
R075i,"has or had location",har lokation,
R076,"is or was jurisdiction of",myndighedsområde for,
R076i,"has or had jurisdiction",har myndighedsområde,
R077,"is or was adjacent to",grænser op til,
R078,"overlaps or overlapped",overlapper med,
R079,"has author",har forfatter,
R079i,"is author of",forfatter til,
R080,"is creation date of",oprettelsesdato for,
R080i,"has creation date",har oprettelsesdato,
R081,"is or was creation date of all members of",oprettelsesdato for alle medlemmer af,
R081i,"has or had all members with creation date",alle medlemmer med oprettelsesdato,
R082,"is or was creation date of some members of",oprettelsesdato for nogle medlemmer af,
R082i,"has or had some members with creation date",nogle medlemmer med oprettelsesdato,
R083,"is or was creation date of most members of",oprettelsesdato for de fleste medlemmer af,
R083i,"has or had most members with creation date",fleste medlemmer med oprettelsesdato,
R084,"is date of occurrence of",forekomstdato for,
R084i,"occurred at date",fandt sted på dato,
R085,"is within",omfattet af,
R085i,"has within",omfatter,
R086,"intersects",overlapper tidsmæssigt med,
